id	well	plate	total_reads	coverage	genecounts	treatment	RNAlibBatch	RNAseqBatch	DNAlibBatch	DNAseqBatch	egglayBatch	eclosionBatch	platingBatch	part	mainchrgenecounts
106_A10_h	106_A10	A10	106	12873536	2.15161	3171422	1	2	2	2	2	1	4	23	head	2285888
106_A11_h	106_A11	A11	106	13001962	2.51374	4763496	1	2	2	2	2	1	4	23	head	3697418
106_A2_h	106_A2	A2	106	28752922	14.792	5743620	1	2	2	2	2	1	4	23	head	4181715
106_A3_h	106_A3	A3	106	6032562	2.13596	1659386	1	2	2	2	2	1	4	23	head	1193372
106_A4_h	106_A4	A4	106	15619126	3.89294	3415943	1	2	2	2	2	1	4	23	head	2658939
106_A7_h	106_A7	A7	106	29047102	12.9565	6084245	1	2	2	2	2	1	4	23	head	4665334
106_B10_h	106_B10	B10	106	22298762	9.38438	4404247	1	2	2	2	2	1	4	23	head	3288382
106_B2_h	106_B2	B2	106	7896160	1.95646	4496244	1	2	2	2	2	1	4	23	head	3347639
106_B7_h	106_B7	B7	106	31345238	14.6142	5820153	1	2	2	2	2	1	4	23	head	4242400
106_B9_h	106_B9	B9	106	19437652	7.01942	2741071	1	2	2	2	2	1	4	23	head	2053631
106_C12_h	106_C12	C12	106	16716870	6.67619	1899365	1	2	2	2	2	1	4	23	head	1468978
106_C4_h	106_C4	C4	106	29994442	14.2396	5448598	1	2	2	2	2	1	4	23	head	3993232
106_C6_h	106_C6	C6	106	26120130	9.92396	7037500	1	2	2	2	2	1	4	23	head	5242136
106_C7_h	106_C7	C7	106	21028648	5.98629	554163	1	2	2	2	2	1	4	23	head	511906
106_D11_h	106_D11	D11	106	11648178	2.20742	2785170	1	2	2	2	2	1	4	23	head	2002899
106_D2_h	106_D2	D2	106	26975998	13.7395	4251112	1	2	2	2	2	1	4	23	head	3064927
106_D3_h	106_D3	D3	106	10256572	3.18523	4158222	1	2	2	2	2	1	4	23	head	2862213
106_D6_h	106_D6	D6	106	29214184	14.3143	3694692	1	2	2	2	2	1	4	23	head	2520934
106_E10_h	106_E10	E10	106	37292730	19.1782	2642478	1	2	2	2	2	1	4	23	head	1898241
106_E11_h	106_E11	E11	106	21418952	6.88708	3559336	1	2	2	2	2	1	4	23	head	2723796
106_E12_h	106_E12	E12	106	21226604	8.96622	1056855	1	2	2	2	2	1	4	23	head	851818
106_E4_h	106_E4	E4	106	18900136	6.95893	4223642	1	2	2	2	2	1	4	23	head	3191333
106_E5_h	106_E5	E5	106	17971914	4.5577	5398262	1	2	2	2	2	1	4	23	head	3981576
106_E6_h	106_E6	E6	106	28714446	12.0513	3789972	1	2	2	2	2	1	4	23	head	2803774
106_E7_h	106_E7	E7	106	13608532	2.95951	1384697	1	2	2	2	2	1	4	23	head	1042771
106_F12_h	106_F12	F12	106	15939126	4.68393	1292153	1	2	2	2	2	1	4	23	head	1058375
106_F3_h	106_F3	F3	106	13331818	3.63277	5369923	1	2	2	2	2	1	4	23	head	3986695
106_F4_h	106_F4	F4	106	15687698	6.7429	1903502	1	2	2	2	2	1	4	23	head	1398121
106_F7_h	106_F7	F7	106	22244246	9.1211	1301199	1	2	2	2	2	1	4	23	head	1219723
106_G12_h	106_G12	G12	106	24244324	12.2447	3414152	1	2	2	2	2	1	4	23	head	2486734
106_G4_h	106_G4	G4	106	30274322	15.2567	5269211	1	2	2	2	2	1	4	23	head	4125619
106_G6_h	106_G6	G6	106	22051428	5.56383	7759546	1	2	2	2	2	1	4	23	head	5987190
106_G7_h	106_G7	G7	106	29241996	15.0711	5088885	1	2	2	2	2	1	4	23	head	3796368
106_G9_h	106_G9	G9	106	28056164	14.7031	893197	1	2	2	2	2	1	4	23	head	653783
106_H12_h	106_H12	H12	106	31996088	15.8589	588607	1	2	2	2	2	1	4	23	head	471418
106_H3_h	106_H3	H3	106	14652574	2.79892	5033911	1	2	2	2	2	1	4	23	head	3792102
106_H4_h	106_H4	H4	106	31414680	15.9447	4940701	1	2	2	2	2	1	4	23	head	3825122
106_H8_h	106_H8	H8	106	24668686	9.25419	4020489	1	2	2	2	2	1	4	23	head	3313016
108_A1_b	108_A1	A1	108	9654358	2.74682	1939324	1	4	6	1	1	2	2	22	body	1544213
108_A10_b	108_A10	A10	108	8800694	2.00486	1503064	1	4	6	1	1	2	2	22	body	1205115
108_A11_b	108_A11	A11	108	9870438	1.78008	2267210	1	4	6	1	1	2	2	22	body	1895490
108_A11_h	108_A11	A11	108	9870438	1.78008	4448983	1	1	1	1	1	2	5	23	head	3635687
108_A3_h	108_A3	A3	108	9166752	4.08447	4842772	1	1	1	1	1	2	5	23	head	3868984
108_A4_b	108_A4	A4	108	13842430	5.91625	2860637	1	4	6	1	1	2	2	22	body	2201100
108_A4_h	108_A4	A4	108	13842430	5.91625	10542951	1	1	1	1	1	2	5	23	head	8357644
108_A5_b	108_A5	A5	108	14349976	4.78191	2630826	1	4	6	1	1	2	2	22	body	2080200
108_A5_h	108_A5	A5	108	14349976	4.78191	9674694	1	1	1	1	1	2	5	23	head	7609619
108_A6_b	108_A6	A6	108	16172298	5.5483	3023230	1	4	6	1	1	2	2	22	body	2465481
108_A6_h	108_A6	A6	108	16172298	5.5483	4029974	1	1	1	1	1	2	5	23	head	3273755
108_A7_b	108_A7	A7	108	21911298	4.38881	2511067	1	4	6	1	1	2	2	22	body	2076773
108_A7_h	108_A7	A7	108	21911298	4.38881	4676656	1	1	1	1	1	2	5	23	head	3717625
108_B1_b	108_B1	B1	108	9826700	4.65948	2021727	1	4	6	1	1	2	2	22	body	1675759
108_B10_b	108_B10	B10	108	14098818	4.13442	1271390	1	4	6	1	1	2	2	22	body	1053880
108_B10_h	108_B10	B10	108	14098818	4.13442	2800796	1	1	1	1	1	2	5	23	head	2248617
108_B11_b	108_B11	B11	108	12888020	3.75329	667601	1	4	6	1	1	2	2	22	body	547393
108_B11_h	108_B11	B11	108	12888020	3.75329	1244835	1	1	1	1	1	2	5	23	head	941281
108_B12_b	108_B12	B12	108	11726154	3.99338	2600848	1	4	6	1	1	2	2	22	body	2007888
108_B12_h	108_B12	B12	108	11726154	3.99338	4373834	1	1	1	1	1	2	5	23	head	3423176
108_B3_b	108_B3	B3	108	11943120	4.624	2004161	1	4	6	1	1	2	2	22	body	1553369
108_B3_h	108_B3	B3	108	11943120	4.624	6510896	1	1	1	1	1	2	5	23	head	5291852
108_B4_b	108_B4	B4	108	41704256	3.72207	1966111	1	4	6	1	1	2	2	22	body	1600827
108_B4_h	108_B4	B4	108	41704256	3.72207	10499779	1	1	1	1	1	2	5	23	head	8667837
108_B5_b	108_B5	B5	108	12621376	4.45459	1926601	1	4	6	1	1	2	2	22	body	1507497
108_B5_h	108_B5	B5	108	12621376	4.45459	5464730	1	1	1	1	1	2	5	23	head	4134838
108_B6_b	108_B6	B6	108	11614200	4.10032	1816159	1	4	6	1	1	2	2	22	body	1497957
108_B6_h	108_B6	B6	108	11614200	4.10032	3373385	1	1	1	1	1	2	5	23	head	2723430
108_B7_b	108_B7	B7	108	12857516	4.35607	1879667	1	4	6	1	1	2	2	22	body	1526738
108_B7_h	108_B7	B7	108	12857516	4.35607	4831982	1	1	1	1	1	2	5	23	head	3935352
108_B8_b	108_B8	B8	108	12446308	4.0407	1727561	1	4	6	1	1	2	2	22	body	1438054
108_B8_h	108_B8	B8	108	12446308	4.0407	4781469	1	1	1	1	1	2	5	23	head	3864298
108_B9_b	108_B9	B9	108	10699140	3.28023	1338259	1	4	6	1	1	2	2	22	body	1121059
108_B9_h	108_B9	B9	108	10699140	3.28023	1181968	1	1	1	1	1	2	5	23	head	983954
108_C1_b	108_C1	C1	108	9081804	4.33398	2123992	1	4	6	1	1	2	2	22	body	1678240
108_C1_h	108_C1	C1	108	9081804	4.33398	6478340	1	1	1	1	1	2	5	23	head	5214592
108_C10_b	108_C10	C10	108	45297780	6.15583	1847413	1	4	6	1	1	2	2	22	body	1457365
108_C10_h	108_C10	C10	108	45297780	6.15583	3149372	1	1	1	1	1	2	5	23	head	2612675
108_C11_b	108_C11	C11	108	5397620	2.50036	1598388	1	4	6	1	1	2	2	22	body	1368842
108_C12_b	108_C12	C12	108	44474904	5.2373	1852680	1	4	6	1	1	2	2	22	body	1525740
108_C12_h	108_C12	C12	108	44474904	5.2373	2855434	1	1	1	1	1	2	5	23	head	2210846
108_C2_b	108_C2	C2	108	7882528	3.28818	1901688	1	4	6	1	1	2	2	22	body	1565646
108_C3_b	108_C3	C3	108	10159842	4.03199	986548	1	4	6	1	1	2	2	22	body	804481
108_C3_h	108_C3	C3	108	10159842	4.03199	6399569	1	1	1	1	1	2	5	23	head	4921600
108_C5_b	108_C5	C5	108	11950804	4.203	2010343	1	4	6	1	1	2	2	22	body	1590680
108_C5_h	108_C5	C5	108	11950804	4.203	7981750	1	1	1	1	1	2	5	23	head	6708242
108_C6_b	108_C6	C6	108	7860394	2.32868	2157802	1	4	6	1	1	2	2	22	body	1879722
108_C7_b	108_C7	C7	108	9889564	3.45067	1541318	1	4	6	1	1	2	2	22	body	1295972
108_C8_b	108_C8	C8	108	11869054	4.35952	3889719	1	4	6	1	1	2	2	22	body	3158614
108_C8_h	108_C8	C8	108	11869054	4.35952	3172240	1	1	1	1	1	2	5	23	head	2591573
108_C9_b	108_C9	C9	108	11128186	3.95472	2510901	1	4	6	1	1	2	2	22	body	1989583
108_C9_h	108_C9	C9	108	11128186	3.95472	2258475	1	1	1	1	1	2	5	23	head	1908360
108_D1_b	108_D1	D1	108	9434866	4.32232	1949988	1	4	6	1	1	2	2	22	body	1590703
108_D1_h	108_D1	D1	108	9434866	4.32232	2872235	1	1	1	1	1	2	5	23	head	2277219
108_D10_b	108_D10	D10	108	57169968	5.24419	865961	1	4	6	1	1	2	2	22	body	706290
108_D10_h	108_D10	D10	108	57169968	5.24419	3800831	1	1	4	1	1	2	5	23	head	3355010
108_D11_h	108_D11	D11	108	53888014	5.07343	2518061	1	1	1	1	1	2	5	23	head	2069435
108_D12_b	108_D12	D12	108	7506980	1.6148	922473	1	4	6	1	1	2	2	22	body	730256
108_D12_h	108_D12	D12	108	7506980	1.6148	2527119	1	1	1	1	1	2	5	23	head	2068726
108_D3_h	108_D3	D3	108	10179318	4.13137	5778212	1	1	1	1	1	2	5	23	head	4598905
108_D4_b	108_D4	D4	108	10457750	4.62434	1627205	1	4	6	1	1	2	2	22	body	1285409
108_D4_h	108_D4	D4	108	10457750	4.62434	5673951	1	1	1	1	1	2	5	23	head	4756125
108_D5_b	108_D5	D5	108	11798022	3.8982	1571913	1	4	6	1	1	2	2	22	body	1338375
108_D5_h	108_D5	D5	108	11798022	3.8982	6416291	1	1	1	1	1	2	5	23	head	5331543
108_D6_b	108_D6	D6	108	14365328	2.83028	1435414	1	4	6	1	1	2	2	22	body	1161995
108_D6_h	108_D6	D6	108	14365328	2.83028	2281012	1	1	1	1	1	2	5	23	head	1906141
108_D7_b	108_D7	D7	108	12069370	4.04798	1863933	1	4	6	1	1	2	2	22	body	1528669
108_D7_h	108_D7	D7	108	12069370	4.04798	3862056	1	1	1	1	1	2	5	23	head	3174771
108_D8_b	108_D8	D8	108	11350102	4.25169	988603	1	4	6	1	1	2	2	22	body	806522
108_D8_h	108_D8	D8	108	11350102	4.25169	3937474	1	1	1	1	1	2	5	23	head	3361369
108_D9_b	108_D9	D9	108	12427340	4.44119	915190	1	4	6	1	1	2	2	22	body	779837
108_E1_b	108_E1	E1	108	12473494	5.40411	1457886	1	4	6	1	1	2	2	22	body	1222600
108_E10_b	108_E10	E10	108	11150574	3.42082	1599002	1	4	6	1	1	2	2	22	body	1304010
108_E10_h	108_E10	E10	108	11150574	3.42082	5029921	1	1	1	1	1	2	5	23	head	4121117
108_E11_h	108_E11	E11	108	10964700	4.22735	2712058	1	1	1	1	1	2	5	23	head	2272202
108_E2_b	108_E2	E2	108	10324374	4.16539	1946734	1	4	6	1	1	2	2	22	body	1568021
108_E3_b	108_E3	E3	108	10242710	4.2339	1404776	1	4	6	1	1	2	2	22	body	1185600
108_E3_h	108_E3	E3	108	10242710	4.2339	5243094	1	1	1	1	1	2	5	23	head	4324980
108_E4_b	108_E4	E4	108	11544310	4.48702	1952116	1	4	6	1	1	2	2	22	body	1591085
108_E4_h	108_E4	E4	108	11544310	4.48702	7487264	1	1	1	1	1	2	5	23	head	6345707
108_E5_b	108_E5	E5	108	12154918	3.67603	2613623	1	4	6	1	1	2	2	22	body	2209358
108_E5_h	108_E5	E5	108	12154918	3.67603	7540264	1	1	1	1	1	2	5	23	head	6035282
108_E6_b	108_E6	E6	108	10425666	3.60965	2254057	1	4	6	1	1	2	2	22	body	1876714
108_E6_h	108_E6	E6	108	10425666	3.60965	1589364	1	1	1	1	1	2	5	23	head	1341550
108_E7_b	108_E7	E7	108	12267704	4.59784	2512016	1	4	6	1	1	2	2	22	body	2010922
108_E7_h	108_E7	E7	108	12267704	4.59784	1715868	1	1	1	1	1	2	5	23	head	1431239
108_E8_h	108_E8	E8	108	50566990	3.75436	7558925	1	1	1	1	1	2	5	23	head	6186604
108_E9_b	108_E9	E9	108	41734414	4.31593	1825358	1	4	6	1	1	2	2	22	body	1461521
108_E9_h	108_E9	E9	108	41734414	4.31593	2146653	1	1	4	1	1	2	5	23	head	1793998
108_F1_b	108_F1	F1	108	4898022	1.87167	1674263	1	4	6	1	1	2	2	22	body	1416018
108_F1_h	108_F1	F1	108	4898022	1.87167	2271549	1	1	1	1	1	2	5	23	head	1999844
